INFO:root:Started
INFO:root:Front-end заработал
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '42'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '348'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '885'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '424'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '962'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '451', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '721'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '719', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '614', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '610'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '550'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '857', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '674'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '428'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '374', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '470', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '888', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '707', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '562', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '858', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '895'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '244'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '769'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '14'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '898', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '947'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '887'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '727', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '490'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '507'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '897', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '971', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '258'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '122', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '399', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '767', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '446', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '23', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '667', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '843', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '924'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '795', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '430'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '349', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '584'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '847'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '621'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '738', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '442', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '32'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '94', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '726', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '309', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '258'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '321'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '501'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '497', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '91'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '679'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '573'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '523'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '264'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '415', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '330'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '99'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '248'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '673'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '673'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '749', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '394'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '625', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '449', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '537'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '689'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '247'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '224', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '59'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '964', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '553', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '676'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '304'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '375', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '696'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '804', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '45', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '138'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '472'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '385', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '4'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '901', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '143', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '630'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '689'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '860', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '9'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '811', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '72', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '40', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '507', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '50', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '730'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '324', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '884'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '732'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '823'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '839', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '339'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '247', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '627'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '57'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '884'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '351'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '575', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '290', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '556'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '532', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '608'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '690'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '765', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '868'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '469'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '123', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '570'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '823', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '556'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '603', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '52'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '871'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '837'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '344'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '242', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '512', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '521', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '544'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '805'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '52'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '761'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '420'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '740'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '669'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '649', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '546', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '594'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '112'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '414', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '527', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '800', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '191'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '222', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '229', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '587', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '197'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '722', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '586', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '145', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '851'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '485'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '996'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '973', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '837', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '781', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '625', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '568'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '578'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '117', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '191', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '823', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '604', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '274'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '417'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '126'}
